delta,isentropic,data_size,fig_size,device_type,cpu,memory,consumption,timestamp,gpu
29,10,30,20,Laptop,6,38,19,2024-03-21 15:16:05.384922,0
49,10,30,20,Laptop,6,32,19,2024-03-21 15:16:05.884560,0
28,10,30,20,Laptop,8,32,19,2024-03-21 15:16:06.168876,0
28,10,30,20,Laptop,6,32,19,2024-03-21 15:16:06.451121,0
28,10,30,20,Laptop,7,32,19,2024-03-21 15:16:06.732006,0
28,10,30,20,Laptop,7,32,19,2024-03-21 15:16:07.013956,0
28,10,30,20,Laptop,7,32,19,2024-03-21 15:16:07.303468,0
31,10,30,50,Laptop,7,32,19,2024-03-21 15:16:07.620380,0
31,10,30,50,Laptop,7,32,19,2024-03-21 15:16:07.936069,0
32,10,30,50,Laptop,7,32,19,2024-03-21 15:16:08.257289,0
32,10,30,50,Laptop,7,33,19,2024-03-21 15:16:08.583748,0
42,10,30,50,Laptop,18,33,20,2024-03-21 15:16:09.009640,0
65,10,30,50,Laptop,21,33,20,2024-03-21 15:16:09.663333,0
69,10,30,50,Laptop,21,33,20,2024-03-21 15:16:10.354340,0
64,10,30,50,Laptop,19,34,20,2024-03-21 15:16:11.002058,0
47,10,30,50,Laptop,11,34,19,2024-03-21 15:16:11.482527,0
35,10,30,50,Laptop,6,34,19,2024-03-21 15:16:11.842079,0
39,10,30,80,Laptop,8,35,19,2024-03-21 15:16:12.234254,0
39,10,30,80,Laptop,7,35,19,2024-03-21 15:16:12.629271,0
38,10,30,80,Laptop,8,35,19,2024-03-21 15:16:13.019410,0
41,10,30,80,Laptop,7,35,19,2024-03-21 15:16:13.429954,0
39,10,30,80,Laptop,7,35,19,2024-03-21 15:16:13.829793,0
37,10,30,80,Laptop,6,36,19,2024-03-21 15:16:14.205088,0
38,10,30,80,Laptop,6,36,19,2024-03-21 15:16:14.586075,0
38,10,30,80,Laptop,6,36,19,2024-03-21 15:16:14.970872,0
36,10,30,80,Laptop,6,37,19,2024-03-21 15:16:15.340301,0
38,10,30,80,Laptop,6,37,19,2024-03-21 15:16:15.721533,0
19,50,5,1,Laptop,6,37,19,2024-03-21 15:16:15.982956,0
20,50,5,1,Laptop,6,37,19,2024-03-21 15:16:16.183716,0
19,50,5,1,Laptop,6,37,19,2024-03-21 15:16:16.381224,0
19,50,5,1,Laptop,6,37,19,2024-03-21 15:16:16.580037,0
19,50,5,1,Laptop,6,37,19,2024-03-21 15:16:16.780152,0
19,50,5,1,Laptop,6,37,19,2024-03-21 15:16:16.978310,0
19,50,5,1,Laptop,6,37,19,2024-03-21 15:16:17.177169,0
19,50,5,1,Laptop,6,37,19,2024-03-21 15:16:17.372734,0
19,50,5,1,Laptop,7,37,19,2024-03-21 15:16:17.567393,0
19,50,5,1,Laptop,6,37,19,2024-03-21 15:16:17.763566,0
19,50,5,10,Laptop,7,37,19,2024-03-21 15:16:17.960006,0
19,50,5,10,Laptop,6,37,19,2024-03-21 15:16:18.157747,0
19,50,5,10,Laptop,7,37,19,2024-03-21 15:16:18.356506,0
19,50,5,10,Laptop,6,37,19,2024-03-21 15:16:18.550523,0
37,50,5,10,Laptop,6,32,19,2024-03-21 15:16:18.930888,0
19,50,5,10,Laptop,7,32,19,2024-03-21 15:16:19.129838,0
19,50,5,10,Laptop,7,32,19,2024-03-21 15:16:19.326605,0
20,50,5,10,Laptop,7,32,19,2024-03-21 15:16:19.529854,0
20,50,5,10,Laptop,7,32,19,2024-03-21 15:16:19.736477,0
19,50,5,10,Laptop,6,32,19,2024-03-21 15:16:19.936033,0
20,50,5,20,Laptop,6,32,19,2024-03-21 15:16:20.137738,0
22,50,5,20,Laptop,15,32,19,2024-03-21 15:16:20.368313,0
32,50,5,20,Laptop,14,32,19,2024-03-21 15:16:20.692959,0
35,50,5,20,Laptop,20,32,20,2024-03-21 15:16:21.044795,0
32,50,5,20,Laptop,7,32,19,2024-03-21 15:16:21.368492,0
24,50,5,20,Laptop,6,32,19,2024-03-21 15:16:21.612802,0
21,50,5,20,Laptop,6,32,19,2024-03-21 15:16:21.832493,0
21,50,5,20,Laptop,6,32,19,2024-03-21 15:16:22.046153,0
22,50,5,20,Laptop,12,32,19,2024-03-21 15:16:22.271647,0
29,50,5,20,Laptop,15,32,19,2024-03-21 15:16:22.562590,0
29,50,5,50,Laptop,6,32,19,2024-03-21 15:16:22.861038,0
25,50,5,50,Laptop,7,33,19,2024-03-21 15:16:23.120457,0
24,50,5,50,Laptop,6,33,19,2024-03-21 15:16:23.368030,0
23,50,5,50,Laptop,6,33,19,2024-03-21 15:16:23.604258,0
23,50,5,50,Laptop,6,33,19,2024-03-21 15:16:23.835652,0
23,50,5,50,Laptop,6,33,19,2024-03-21 15:16:24.071102,0
23,50,5,50,Laptop,10,33,19,2024-03-21 15:16:24.309317,0
33,50,5,50,Laptop,16,34,19,2024-03-21 15:16:24.646897,0
31,50,5,50,Laptop,12,34,19,2024-03-21 15:16:24.967249,0
35,50,5,50,Laptop,12,34,19,2024-03-21 15:16:25.326983,0
43,50,5,80,Laptop,14,34,19,2024-03-21 15:16:25.763912,0
42,50,5,80,Laptop,15,35,19,2024-03-21 15:16:26.189875,0
42,50,5,80,Laptop,15,36,19,2024-03-21 15:16:26.611558,0
46,50,5,80,Laptop,15,36,19,2024-03-21 15:16:27.080408,0
45,50,5,80,Laptop,15,37,19,2024-03-21 15:16:27.538135,0
40,50,5,80,Laptop,7,37,19,2024-03-21 15:16:27.939190,0
35,50,5,80,Laptop,12,37,19,2024-03-21 15:16:28.292699,0
41,50,5,80,Laptop,11,38,19,2024-03-21 15:16:28.706429,0
35,50,5,80,Laptop,12,38,19,2024-03-21 15:16:29.064884,0
74,50,5,80,Laptop,41,38,21,2024-03-21 15:16:29.811271,0
42,50,10,1,Laptop,18,38,20,2024-03-21 15:16:30.236164,0
35,50,10,1,Laptop,18,38,20,2024-03-21 15:16:30.593187,0
30,50,10,1,Laptop,9,38,19,2024-03-21 15:16:30.901573,0
36,50,10,1,Laptop,18,38,20,2024-03-21 15:16:31.264454,0
68,50,10,1,Laptop,14,32,19,2024-03-21 15:16:31.954139,0
32,50,10,1,Laptop,12,32,19,2024-03-21 15:16:32.277382,0
26,50,10,1,Laptop,6,32,19,2024-03-21 15:16:32.542891,0
24,50,10,1,Laptop,7,32,19,2024-03-21 15:16:32.783794,0
23,50,10,1,Laptop,7,32,19,2024-03-21 15:16:33.015930,0
21,50,10,1,Laptop,6,32,19,2024-03-21 15:16:33.234871,0
22,50,10,10,Laptop,7,32,19,2024-03-21 15:16:33.459835,0
22,50,10,10,Laptop,6,32,19,2024-03-21 15:16:33.682987,0
22,50,10,10,Laptop,6,31,19,2024-03-21 15:16:33.906637,0
22,50,10,10,Laptop,6,31,19,2024-03-21 15:16:34.133199,0
22,50,10,10,Laptop,7,31,19,2024-03-21 15:16:34.355569,0
22,50,10,10,Laptop,6,31,19,2024-03-21 15:16:34.579311,0
22,50,10,10,Laptop,7,31,19,2024-03-21 15:16:34.800845,0
22,50,10,10,Laptop,8,31,19,2024-03-21 15:16:35.026056,0
22,50,10,10,Laptop,7,31,19,2024-03-21 15:16:35.247214,0
22,50,10,10,Laptop,7,31,19,2024-03-21 15:16:35.469546,0
21,50,10,20,Laptop,6,31,19,2024-03-21 15:16:35.685799,0
21,50,10,20,Laptop,6,31,19,2024-03-21 15:16:35.904082,0
21,50,10,20,Laptop,8,31,19,2024-03-21 15:16:36.123749,0
22,50,10,20,Laptop,10,31,19,2024-03-21 15:16:36.346088,0
23,50,10,20,Laptop,7,31,19,2024-03-21 15:16:36.577763,0
22,50,10,20,Laptop,6,31,19,2024-03-21 15:16:36.800806,0
22,50,10,20,Laptop,6,31,19,2024-03-21 15:16:37.024144,0
22,50,10,20,Laptop,6,31,19,2024-03-21 15:16:37.246141,0
22,50,10,20,Laptop,6,32,19,2024-03-21 15:16:37.472507,0
21,50,10,20,Laptop,6,32,19,2024-03-21 15:16:37.689564,0
26,50,10,50,Laptop,6,32,19,2024-03-21 15:16:37.959402,0
25,50,10,50,Laptop,7,32,19,2024-03-21 15:16:38.215008,0
26,50,10,50,Laptop,8,32,19,2024-03-21 15:16:38.478268,0
26,50,10,50,Laptop,7,32,19,2024-03-21 15:16:38.740576,0
25,50,10,50,Laptop,8,33,19,2024-03-21 15:16:38.998645,0
26,50,10,50,Laptop,8,33,19,2024-03-21 15:16:39.260013,0
26,50,10,50,Laptop,8,33,19,2024-03-21 15:16:39.525058,0
28,50,10,50,Laptop,17,34,19,2024-03-21 15:16:39.812943,0
32,50,10,50,Laptop,13,34,19,2024-03-21 15:16:40.140924,0
31,50,10,50,Laptop,11,34,19,2024-03-21 15:16:40.457597,0
42,50,10,80,Laptop,16,34,19,2024-03-21 15:16:40.886334,0
45,50,10,80,Laptop,16,34,19,2024-03-21 15:16:41.346411,0
41,50,10,80,Laptop,9,34,19,2024-03-21 15:16:41.761369,0
35,50,10,80,Laptop,11,35,19,2024-03-21 15:16:42.115479,0
66,50,10,80,Laptop,16,32,19,2024-03-21 15:16:42.777823,0
38,50,10,80,Laptop,8,33,19,2024-03-21 15:16:43.165110,0
35,50,10,80,Laptop,9,34,19,2024-03-21 15:16:43.519406,0
35,50,10,80,Laptop,10,34,19,2024-03-21 15:16:43.870941,0
35,50,10,80,Laptop,8,34,19,2024-03-21 15:16:44.228341,0
33,50,10,80,Laptop,13,35,19,2024-03-21 15:16:44.568854,0
33,50,20,1,Laptop,11,34,19,2024-03-21 15:16:44.901304,0
28,50,20,1,Laptop,6,34,19,2024-03-21 15:16:45.187492,0
26,50,20,1,Laptop,10,34,19,2024-03-21 15:16:45.457947,0
29,50,20,1,Laptop,9,34,19,2024-03-21 15:16:45.748588,0
26,50,20,1,Laptop,6,34,19,2024-03-21 15:16:46.015971,0
26,50,20,1,Laptop,7,33,19,2024-03-21 15:16:46.276886,0
25,50,20,1,Laptop,7,33,19,2024-03-21 15:16:46.535207,0
26,50,20,1,Laptop,8,33,19,2024-03-21 15:16:46.804452,0
25,50,20,1,Laptop,6,33,19,2024-03-21 15:16:47.064320,0
25,50,20,1,Laptop,7,33,19,2024-03-21 15:16:47.322152,0
25,50,20,10,Laptop,6,33,19,2024-03-21 15:16:47.577738,0
25,50,20,10,Laptop,6,33,19,2024-03-21 15:16:47.828837,0
24,50,20,10,Laptop,6,33,19,2024-03-21 15:16:48.075525,0
25,50,20,10,Laptop,6,33,19,2024-03-21 15:16:48.326171,0
27,50,20,10,Laptop,13,33,19,2024-03-21 15:16:48.597809,0
28,50,20,10,Laptop,10,33,19,2024-03-21 15:16:48.883228,0
28,50,20,10,Laptop,7,33,19,2024-03-21 15:16:49.167436,0
27,50,20,10,Laptop,7,33,19,2024-03-21 15:16:49.439128,0
26,50,20,10,Laptop,6,33,19,2024-03-21 15:16:49.702494,0
25,50,20,10,Laptop,6,33,19,2024-03-21 15:16:49.960353,0
25,50,20,20,Laptop,6,33,19,2024-03-21 15:16:50.214300,0
26,50,20,20,Laptop,7,33,19,2024-03-21 15:16:50.474970,0
25,50,20,20,Laptop,6,33,19,2024-03-21 15:16:50.727586,0
25,50,20,20,Laptop,6,33,19,2024-03-21 15:16:50.987370,0
25,50,20,20,Laptop,7,33,19,2024-03-21 15:16:51.246858,0
26,50,20,20,Laptop,6,34,19,2024-03-21 15:16:51.510418,0
26,50,20,20,Laptop,6,34,19,2024-03-21 15:16:51.773984,0
26,50,20,20,Laptop,6,34,19,2024-03-21 15:16:52.039938,0
26,50,20,20,Laptop,6,34,19,2024-03-21 15:16:52.303827,0
28,50,20,20,Laptop,12,34,19,2024-03-21 15:16:52.594239,0
30,50,20,50,Laptop,6,34,19,2024-03-21 15:16:52.902537,0
35,50,20,50,Laptop,14,34,19,2024-03-21 15:16:53.254678,0
32,50,20,50,Laptop,8,34,19,2024-03-21 15:16:53.584655,0
32,50,20,50,Laptop,14,35,19,2024-03-21 15:16:53.910377,0
35,50,20,50,Laptop,11,35,19,2024-03-21 15:16:54.261935,0
71,50,20,50,Laptop,22,32,20,2024-03-21 15:16:54.981893,0
47,50,20,50,Laptop,21,32,20,2024-03-21 15:16:55.462518,0
49,50,20,50,Laptop,27,32,20,2024-03-21 15:16:55.959755,0
50,50,20,50,Laptop,23,33,20,2024-03-21 15:16:56.468363,0
47,50,20,50,Laptop,19,33,20,2024-03-21 15:16:56.942832,0
58,50,20,80,Laptop,24,34,20,2024-03-21 15:16:57.527555,0
62,50,20,80,Laptop,20,34,20,2024-03-21 15:16:58.155928,0
47,50,20,80,Laptop,10,35,19,2024-03-21 15:16:58.627742,0
39,50,20,80,Laptop,6,35,19,2024-03-21 15:16:59.019650,0
34,50,20,80,Laptop,6,36,19,2024-03-21 15:16:59.366147,0
35,50,20,80,Laptop,10,36,19,2024-03-21 15:16:59.723608,0
36,50,20,80,Laptop,7,36,19,2024-03-21 15:17:00.088472,0
36,50,20,80,Laptop,8,36,19,2024-03-21 15:17:00.456360,0
35,50,20,80,Laptop,7,37,19,2024-03-21 15:17:00.807033,0
35,50,20,80,Laptop,8,37,19,2024-03-21 15:17:01.163973,0
30,50,30,1,Laptop,7,37,19,2024-03-21 15:17:01.469688,0
29,50,30,1,Laptop,7,37,19,2024-03-21 15:17:01.767676,0
32,50,30,1,Laptop,10,37,19,2024-03-21 15:17:02.089551,0
33,50,30,1,Laptop,13,37,19,2024-03-21 15:17:02.421810,0
36,50,30,1,Laptop,13,37,19,2024-03-21 15:17:02.791158,0
32,50,30,1,Laptop,6,37,19,2024-03-21 15:17:03.120471,0
31,50,30,1,Laptop,9,37,19,2024-03-21 15:17:03.434101,0
29,50,30,1,Laptop,6,37,19,2024-03-21 15:17:03.729974,0
29,50,30,1,Laptop,7,37,19,2024-03-21 15:17:04.020828,0
29,50,30,1,Laptop,8,37,19,2024-03-21 15:17:04.315244,0
29,50,30,10,Laptop,7,37,19,2024-03-21 15:17:04.606305,0
30,50,30,10,Laptop,8,37,19,2024-03-21 15:17:04.908470,0
29,50,30,10,Laptop,7,37,19,2024-03-21 15:17:05.205021,0
29,50,30,10,Laptop,8,37,19,2024-03-21 15:17:05.498233,0
30,50,30,10,Laptop,7,37,19,2024-03-21 15:17:05.803785,0
29,50,30,10,Laptop,7,37,19,2024-03-21 15:17:06.101111,0
30,50,30,10,Laptop,7,37,19,2024-03-21 15:17:06.409879,0
30,50,30,10,Laptop,7,37,19,2024-03-21 15:17:06.720351,0
30,50,30,10,Laptop,8,37,19,2024-03-21 15:17:07.027057,0
30,50,30,10,Laptop,7,37,19,2024-03-21 15:17:07.329058,0
28,50,30,20,Laptop,6,37,19,2024-03-21 15:17:07.619161,0
29,50,30,20,Laptop,6,37,19,2024-03-21 15:17:07.912438,0
31,50,30,20,Laptop,10,37,19,2024-03-21 15:17:08.223982,0
32,50,30,20,Laptop,11,37,19,2024-03-21 15:17:08.549438,0
31,50,30,20,Laptop,7,37,19,2024-03-21 15:17:08.866637,0
33,50,30,20,Laptop,8,37,19,2024-03-21 15:17:09.198004,0
30,50,30,20,Laptop,7,37,19,2024-03-21 15:17:09.506301,0
30,50,30,20,Laptop,6,37,19,2024-03-21 15:17:09.815234,0
56,50,30,20,Laptop,11,33,19,2024-03-21 15:17:10.381889,0
30,50,30,20,Laptop,8,33,19,2024-03-21 15:17:10.691994,0
33,50,30,50,Laptop,7,33,19,2024-03-21 15:17:11.026175,0
34,50,30,50,Laptop,10,33,19,2024-03-21 15:17:11.370734,0
34,50,30,50,Laptop,7,34,19,2024-03-21 15:17:11.713269,0
34,50,30,50,Laptop,8,34,19,2024-03-21 15:17:12.053891,0
36,50,30,50,Laptop,12,34,19,2024-03-21 15:17:12.414572,0
39,50,30,50,Laptop,11,34,19,2024-03-21 15:17:12.810586,0
37,50,30,50,Laptop,7,34,19,2024-03-21 15:17:13.186329,0
36,50,30,50,Laptop,10,35,19,2024-03-21 15:17:13.556236,0
36,50,30,50,Laptop,7,35,19,2024-03-21 15:17:13.919970,0
39,50,30,50,Laptop,15,35,19,2024-03-21 15:17:14.317546,0
59,50,30,80,Laptop,28,36,20,2024-03-21 15:17:14.916676,0
95,50,30,80,Laptop,38,37,21,2024-03-21 15:17:15.869961,0
106,50,30,80,Laptop,29,37,20,2024-03-21 15:17:16.932527,0
61,50,30,80,Laptop,13,38,19,2024-03-21 15:17:17.545464,0
54,50,30,80,Laptop,13,39,19,2024-03-21 15:17:18.095555,0
48,50,30,80,Laptop,11,39,19,2024-03-21 15:17:18.585116,0
42,50,30,80,Laptop,8,40,19,2024-03-21 15:17:19.015673,0
40,50,30,80,Laptop,7,40,19,2024-03-21 15:17:19.419665,0
42,50,30,80,Laptop,11,40,19,2024-03-21 15:17:19.847164,0
42,50,30,80,Laptop,12,40,19,2024-03-21 15:17:20.272812,0
22,100,5,1,Laptop,8,40,19,2024-03-21 15:17:20.594483,0
22,100,5,1,Laptop,9,40,19,2024-03-21 15:17:20.820010,0
22,100,5,1,Laptop,10,40,19,2024-03-21 15:17:21.042986,0
21,100,5,1,Laptop,7,40,19,2024-03-21 15:17:21.259166,0
22,100,5,1,Laptop,11,40,19,2024-03-21 15:17:21.486672,0
23,100,5,1,Laptop,10,40,19,2024-03-21 15:17:21.722534,0
23,100,5,1,Laptop,11,40,19,2024-03-21 15:17:21.955765,0
23,100,5,1,Laptop,11,40,19,2024-03-21 15:17:22.186531,0
22,100,5,1,Laptop,9,40,19,2024-03-21 15:17:22.411876,0
23,100,5,1,Laptop,9,40,19,2024-03-21 15:17:22.644325,0
22,100,5,10,Laptop,8,40,19,2024-03-21 15:17:22.872500,0
22,100,5,10,Laptop,6,40,19,2024-03-21 15:17:23.100391,0
22,100,5,10,Laptop,7,40,19,2024-03-21 15:17:23.323090,0
21,100,5,10,Laptop,6,40,19,2024-03-21 15:17:23.541365,0
20,100,5,10,Laptop,7,40,19,2024-03-21 15:17:23.750786,0
20,100,5,10,Laptop,7,40,19,2024-03-21 15:17:23.957720,0
20,100,5,10,Laptop,6,40,19,2024-03-21 15:17:24.163452,0
41,100,5,10,Laptop,7,33,19,2024-03-21 15:17:24.574380,0
21,100,5,10,Laptop,8,33,19,2024-03-21 15:17:24.786588,0
21,100,5,10,Laptop,8,33,19,2024-03-21 15:17:25.005180,0
22,100,5,20,Laptop,8,33,19,2024-03-21 15:17:25.227820,0
23,100,5,20,Laptop,8,33,19,2024-03-21 15:17:25.464584,0
20,100,5,20,Laptop,6,33,19,2024-03-21 15:17:25.672944,0
21,100,5,20,Laptop,6,33,19,2024-03-21 15:17:25.883485,0
21,100,5,20,Laptop,7,33,19,2024-03-21 15:17:26.100795,0
21,100,5,20,Laptop,7,33,19,2024-03-21 15:17:26.311564,0
21,100,5,20,Laptop,7,33,19,2024-03-21 15:17:26.522692,0
21,100,5,20,Laptop,6,33,19,2024-03-21 15:17:26.733905,0
21,100,5,20,Laptop,10,33,19,2024-03-21 15:17:26.950381,0
21,100,5,20,Laptop,7,33,19,2024-03-21 15:17:27.169339,0
25,100,5,50,Laptop,10,34,19,2024-03-21 15:17:27.425188,0
27,100,5,50,Laptop,7,34,19,2024-03-21 15:17:27.698195,0
26,100,5,50,Laptop,13,34,19,2024-03-21 15:17:27.968405,0
32,100,5,50,Laptop,18,34,20,2024-03-21 15:17:28.291494,0
30,100,5,50,Laptop,9,35,19,2024-03-21 15:17:28.598543,0
29,100,5,50,Laptop,7,35,19,2024-03-21 15:17:28.891026,0
26,100,5,50,Laptop,7,35,19,2024-03-21 15:17:29.158907,0
26,100,5,50,Laptop,6,35,19,2024-03-21 15:17:29.424637,0
25,100,5,50,Laptop,8,35,19,2024-03-21 15:17:29.685046,0
27,100,5,50,Laptop,12,35,19,2024-03-21 15:17:29.961375,0
39,100,5,80,Laptop,18,36,20,2024-03-21 15:17:30.354624,0
59,100,5,80,Laptop,50,36,22,2024-03-21 15:17:30.953977,0
84,100,5,80,Laptop,44,37,21,2024-03-21 15:17:31.797741,0
57,100,5,80,Laptop,23,37,20,2024-03-21 15:17:32.378260,0
56,100,5,80,Laptop,21,37,20,2024-03-21 15:17:32.941425,0
40,100,5,80,Laptop,7,38,19,2024-03-21 15:17:33.346532,0
34,100,5,80,Laptop,6,38,19,2024-03-21 15:17:33.695714,0
31,100,5,80,Laptop,6,39,19,2024-03-21 15:17:34.010961,0
30,100,5,80,Laptop,6,39,19,2024-03-21 15:17:34.312138,0
30,100,5,80,Laptop,6,39,19,2024-03-21 15:17:34.619548,0
22,100,10,1,Laptop,7,39,19,2024-03-21 15:17:34.841611,0
21,100,10,1,Laptop,6,39,19,2024-03-21 15:17:35.060581,0
21,100,10,1,Laptop,7,39,19,2024-03-21 15:17:35.276894,0
21,100,10,1,Laptop,6,39,19,2024-03-21 15:17:35.490055,0
22,100,10,1,Laptop,7,39,19,2024-03-21 15:17:35.711868,0
22,100,10,1,Laptop,7,39,19,2024-03-21 15:17:35.934724,0
21,100,10,1,Laptop,6,39,19,2024-03-21 15:17:36.150118,0
22,100,10,1,Laptop,7,39,19,2024-03-21 15:17:36.371898,0
22,100,10,1,Laptop,7,39,19,2024-03-21 15:17:36.598436,0
22,100,10,1,Laptop,7,39,19,2024-03-21 15:17:36.822891,0
22,100,10,10,Laptop,6,39,19,2024-03-21 15:17:37.047149,0
22,100,10,10,Laptop,6,39,19,2024-03-21 15:17:37.269133,0
40,100,10,10,Laptop,6,34,19,2024-03-21 15:17:37.673163,0
21,100,10,10,Laptop,6,34,19,2024-03-21 15:17:37.893155,0
22,100,10,10,Laptop,7,34,19,2024-03-21 15:17:38.117756,0
22,100,10,10,Laptop,6,34,19,2024-03-21 15:17:38.339113,0
21,100,10,10,Laptop,6,34,19,2024-03-21 15:17:38.558420,0
21,100,10,10,Laptop,6,34,19,2024-03-21 15:17:38.774698,0
21,100,10,10,Laptop,6,34,19,2024-03-21 15:17:38.988609,0
21,100,10,10,Laptop,7,34,19,2024-03-21 15:17:39.204615,0
21,100,10,20,Laptop,6,34,19,2024-03-21 15:17:39.420893,0
21,100,10,20,Laptop,6,34,19,2024-03-21 15:17:39.636423,0
21,100,10,20,Laptop,6,34,19,2024-03-21 15:17:39.853733,0
21,100,10,20,Laptop,7,34,19,2024-03-21 15:17:40.069253,0
21,100,10,20,Laptop,6,34,19,2024-03-21 15:17:40.285620,0
22,100,10,20,Laptop,7,34,19,2024-03-21 15:17:40.509242,0
21,100,10,20,Laptop,6,34,19,2024-03-21 15:17:40.729563,0
21,100,10,20,Laptop,6,34,19,2024-03-21 15:17:40.946481,0
22,100,10,20,Laptop,7,34,19,2024-03-21 15:17:41.169688,0
21,100,10,20,Laptop,6,34,19,2024-03-21 15:17:41.384494,0
25,100,10,50,Laptop,6,34,19,2024-03-21 15:17:41.638976,0
25,100,10,50,Laptop,6,34,19,2024-03-21 15:17:41.893060,0
24,100,10,50,Laptop,6,35,19,2024-03-21 15:17:42.143259,0
25,100,10,50,Laptop,7,34,19,2024-03-21 15:17:42.401584,0
30,100,10,50,Laptop,14,35,19,2024-03-21 15:17:42.704104,0
31,100,10,50,Laptop,7,35,19,2024-03-21 15:17:43.021348,0
28,100,10,50,Laptop,6,35,19,2024-03-21 15:17:43.303619,0
26,100,10,50,Laptop,6,35,19,2024-03-21 15:17:43.565314,0
24,100,10,50,Laptop,6,36,19,2024-03-21 15:17:43.814536,0
25,100,10,50,Laptop,6,36,19,2024-03-21 15:17:44.068188,0
29,100,10,80,Laptop,6,36,19,2024-03-21 15:17:44.367729,0
30,100,10,80,Laptop,6,36,19,2024-03-21 15:17:44.677474,0
30,100,10,80,Laptop,6,36,19,2024-03-21 15:17:44.985746,0
29,100,10,80,Laptop,6,37,19,2024-03-21 15:17:45.279036,0
30,100,10,80,Laptop,6,37,19,2024-03-21 15:17:45.586743,0
30,100,10,80,Laptop,6,37,19,2024-03-21 15:17:45.890197,0
29,100,10,80,Laptop,6,38,19,2024-03-21 15:17:46.185270,0
31,100,10,80,Laptop,6,38,19,2024-03-21 15:17:46.498717,0
29,100,10,80,Laptop,6,39,19,2024-03-21 15:17:46.798508,0
29,100,10,80,Laptop,6,39,19,2024-03-21 15:17:47.091500,0
26,100,20,1,Laptop,7,39,19,2024-03-21 15:17:47.353987,0
25,100,20,1,Laptop,6,39,19,2024-03-21 15:17:47.613028,0
43,100,20,1,Laptop,6,34,19,2024-03-21 15:17:48.043911,0
25,100,20,1,Laptop,7,34,19,2024-03-21 15:17:48.295679,0
24,100,20,1,Laptop,6,34,19,2024-03-21 15:17:48.544543,0
24,100,20,1,Laptop,7,34,19,2024-03-21 15:17:48.790785,0
24,100,20,1,Laptop,6,34,19,2024-03-21 15:17:49.038872,0
24,100,20,1,Laptop,6,34,19,2024-03-21 15:17:49.285446,0
24,100,20,1,Laptop,6,34,19,2024-03-21 15:17:49.533763,0
24,100,20,1,Laptop,6,34,19,2024-03-21 15:17:49.782669,0
24,100,20,10,Laptop,6,34,19,2024-03-21 15:17:50.030535,0
24,100,20,10,Laptop,7,34,19,2024-03-21 15:17:50.276056,0
24,100,20,10,Laptop,6,34,19,2024-03-21 15:17:50.522619,0
25,100,20,10,Laptop,9,34,19,2024-03-21 15:17:50.777114,0
27,100,20,10,Laptop,9,34,19,2024-03-21 15:17:51.049433,0
25,100,20,10,Laptop,6,34,19,2024-03-21 15:17:51.308446,0
25,100,20,10,Laptop,7,34,19,2024-03-21 15:17:51.559750,0
24,100,20,10,Laptop,6,34,19,2024-03-21 15:17:51.807685,0
24,100,20,10,Laptop,6,34,19,2024-03-21 15:17:52.054931,0
24,100,20,10,Laptop,6,34,19,2024-03-21 15:17:52.300839,0
25,100,20,20,Laptop,7,34,19,2024-03-21 15:17:52.555227,0
27,100,20,20,Laptop,12,34,19,2024-03-21 15:17:52.830778,0
36,100,20,20,Laptop,11,34,19,2024-03-21 15:17:53.193130,0
34,100,20,20,Laptop,9,34,19,2024-03-21 15:17:53.541579,0
30,100,20,20,Laptop,6,34,19,2024-03-21 15:17:53.849754,0
30,100,20,20,Laptop,12,34,19,2024-03-21 15:17:54.156148,0
39,100,20,20,Laptop,17,34,19,2024-03-21 15:17:54.554566,0
35,100,20,20,Laptop,7,34,19,2024-03-21 15:17:54.914812,0
30,100,20,20,Laptop,6,34,19,2024-03-21 15:17:55.215495,0
27,100,20,20,Laptop,6,34,19,2024-03-21 15:17:55.492674,0
30,100,20,50,Laptop,6,35,19,2024-03-21 15:17:55.797435,0
30,100,20,50,Laptop,9,34,19,2024-03-21 15:17:56.108005,0
42,100,20,50,Laptop,15,35,19,2024-03-21 15:17:56.535847,0
49,100,20,50,Laptop,17,35,19,2024-03-21 15:17:57.036359,0
58,100,20,50,Laptop,19,35,20,2024-03-21 15:17:57.627092,0
53,100,20,50,Laptop,11,35,19,2024-03-21 15:17:58.159794,0
46,100,20,50,Laptop,16,35,19,2024-03-21 15:17:58.622913,0
44,100,20,50,Laptop,13,35,19,2024-03-21 15:17:59.070459,0
42,100,20,50,Laptop,14,36,19,2024-03-21 15:17:59.495933,0
41,100,20,50,Laptop,8,36,19,2024-03-21 15:17:59.916021,0
48,100,20,80,Laptop,13,36,19,2024-03-21 15:18:00.398431,0
43,100,20,80,Laptop,14,37,19,2024-03-21 15:18:00.837848,0
76,100,20,80,Laptop,15,35,19,2024-03-21 15:18:01.599975,0
49,100,20,80,Laptop,11,35,19,2024-03-21 15:18:02.098446,0
40,100,20,80,Laptop,7,36,19,2024-03-21 15:18:02.498972,0
34,100,20,80,Laptop,6,36,19,2024-03-21 15:18:02.847754,0
36,100,20,80,Laptop,8,36,19,2024-03-21 15:18:03.212558,0
35,100,20,80,Laptop,8,37,19,2024-03-21 15:18:03.572000,0
34,100,20,80,Laptop,6,38,19,2024-03-21 15:18:03.914290,0
36,100,20,80,Laptop,9,38,19,2024-03-21 15:18:04.276195,0
